Log started on 2/3/2022
Connected to Server at 22:57:52
23:12:27:Device Configured
UID: SAKPEC_P2_S1
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
23:14:23:Time Elapsed (s):115 of 180
23:14:24:Time Elapsed (s):116 of 180
23:14:25:Time Elapsed (s):117 of 180
23:14:26:Time Elapsed (s):118 of 180
23:14:27:Time Elapsed (s):119 of 180
23:14:28:Time Elapsed (s):120 of 180
23:14:29:Time Elapsed (s):121 of 180
23:14:30:Time Elapsed (s):122 of 180
23:14:31:Time Elapsed (s):123 of 180
23:14:32:Time Elapsed (s):124 of 180
23:14:33:Time Elapsed (s):125 of 180
23:14:34:Time Elapsed (s):126 of 180
23:14:35:Time Elapsed (s):127 of 180
23:14:36:Time Elapsed (s):128 of 180
23:14:37:Time Elapsed (s):129 of 180
23:14:38:Time Elapsed (s):130 of 180
23:14:39:Time Elapsed (s):131 of 180
23:14:40:Time Elapsed (s):132 of 180
23:14:41:Time Elapsed (s):133 of 180
23:14:42:Time Elapsed (s):134 of 180
23:14:43:Time Elapsed (s):135 of 180
23:14:44:Time Elapsed (s):136 of 180
23:14:45:Time Elapsed (s):137 of 180
23:14:46:Time Elapsed (s):138 of 180
23:14:47:Time Elapsed (s):139 of 180
23:14:48:Time Elapsed (s):140 of 180
23:14:49:Time Elapsed (s):141 of 180
23:14:50:Time Elapsed (s):142 of 180
23:14:51:Time Elapsed (s):143 of 180
23:14:52:Time Elapsed (s):144 of 180
23:14:53:Time Elapsed (s):145 of 180
23:14:54:Time Elapsed (s):146 of 180
23:14:55:Time Elapsed (s):147 of 180
23:14:56:Time Elapsed (s):148 of 180
23:14:57:Time Elapsed (s):149 of 180
23:14:58:Time Elapsed (s):150 of 180
23:14:59:Time Elapsed (s):151 of 180
23:15:0:Time Elapsed (s):152 of 180
23:15:1:Time Elapsed (s):153 of 180
23:15:2:Time Elapsed (s):154 of 180
23:15:3:Time Elapsed (s):155 of 180
23:15:4:Time Elapsed (s):156 of 180
23:15:5:Time Elapsed (s):157 of 180
23:15:6:Time Elapsed (s):158 of 180
23:15:7:Time Elapsed (s):159 of 180
23:15:8:Time Elapsed (s):160 of 180
23:15:9:Time Elapsed (s):161 of 180
23:15:10:Time Elapsed (s):162 of 180
23:15:11:Time Elapsed (s):163 of 180
23:15:12:Time Elapsed (s):164 of 180
23:15:13:Time Elapsed (s):165 of 180
23:15:14:Time Elapsed (s):166 of 180
23:15:15:Time Elapsed (s):167 of 180
23:15:16:Time Elapsed (s):168 of 180
23:15:17:Time Elapsed (s):169 of 180
23:15:18:Time Elapsed (s):170 of 180
23:15:19:Time Elapsed (s):171 of 180
23:15:20:Time Elapsed (s):172 of 180
23:15:21:Time Elapsed (s):173 of 180
23:15:22:Time Elapsed (s):174 of 180
23:15:23:Time Elapsed (s):175 of 180
23:15:24:Time Elapsed (s):176 of 180
23:15:25:Time Elapsed (s):177 of 180
23:15:26:Time Elapsed (s):178 of 180
23:15:27:Time Elapsed (s):179 of 180
23:15:28:Time Elapsed (s):180 of 180
23:15:28:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
