Log started on 2/3/2022
23:32:58:Time Elapsed (s):43 of 180
23:32:59:Time Elapsed (s):44 of 180
23:33:0:Time Elapsed (s):45 of 180
23:33:1:Time Elapsed (s):46 of 180
23:33:2:Time Elapsed (s):47 of 180
23:33:3:Time Elapsed (s):48 of 180
23:33:4:Time Elapsed (s):49 of 180
23:33:5:Time Elapsed (s):50 of 180
23:33:6:Time Elapsed (s):51 of 180
23:33:7:Time Elapsed (s):52 of 180
23:33:8:Time Elapsed (s):53 of 180
23:33:9:Time Elapsed (s):54 of 180
23:33:10:Time Elapsed (s):55 of 180
23:33:11:Time Elapsed (s):56 of 180
23:33:12:Time Elapsed (s):57 of 180
23:33:13:Time Elapsed (s):58 of 180
23:33:14:Time Elapsed (s):59 of 180
23:33:15:Time Elapsed (s):60 of 180
23:33:16:Time Elapsed (s):61 of 180
23:33:17:Time Elapsed (s):62 of 180
23:33:18:Time Elapsed (s):63 of 180
23:33:19:Time Elapsed (s):64 of 180
23:33:20:Time Elapsed (s):65 of 180
23:33:21:Time Elapsed (s):66 of 180
23:33:22:Time Elapsed (s):67 of 180
23:33:23:Time Elapsed (s):68 of 180
23:33:24:Time Elapsed (s):69 of 180
23:33:25:Time Elapsed (s):70 of 180
23:33:26:Time Elapsed (s):71 of 180
23:33:27:Time Elapsed (s):72 of 180
23:33:28:Time Elapsed (s):73 of 180
23:33:29:Time Elapsed (s):74 of 180
23:33:30:Time Elapsed (s):75 of 180
23:33:31:Time Elapsed (s):76 of 180
23:33:32:Time Elapsed (s):77 of 180
23:33:33:Time Elapsed (s):78 of 180
23:33:34:Time Elapsed (s):79 of 180
23:33:35:Time Elapsed (s):80 of 180
23:33:36:Time Elapsed (s):81 of 180
23:33:37:Time Elapsed (s):82 of 180
23:33:38:Time Elapsed (s):83 of 180
23:33:39:Time Elapsed (s):84 of 180
23:33:40:Time Elapsed (s):85 of 180
23:33:41:Time Elapsed (s):86 of 180
23:33:42:Time Elapsed (s):87 of 180
23:33:43:Time Elapsed (s):88 of 180
23:33:44:Time Elapsed (s):89 of 180
23:33:45:Time Elapsed (s):90 of 180
23:33:46:Time Elapsed (s):91 of 180
23:33:47:Time Elapsed (s):92 of 180
23:33:48:Time Elapsed (s):93 of 180
23:33:49:Time Elapsed (s):94 of 180
23:33:50:Time Elapsed (s):95 of 180
23:33:51:Time Elapsed (s):96 of 180
23:33:52:Time Elapsed (s):97 of 180
23:33:53:Time Elapsed (s):98 of 180
23:33:54:Time Elapsed (s):99 of 180
23:33:55:Time Elapsed (s):100 of 180
23:33:56:Time Elapsed (s):101 of 180
23:33:57:Time Elapsed (s):102 of 180
23:33:58:Time Elapsed (s):103 of 180
23:33:59:Time Elapsed (s):104 of 180
23:34:0:Time Elapsed (s):105 of 180
23:34:1:Time Elapsed (s):106 of 180
23:34:2:Time Elapsed (s):107 of 180
23:34:3:Time Elapsed (s):108 of 180
23:34:4:Time Elapsed (s):109 of 180
23:34:5:Time Elapsed (s):110 of 180
23:34:6:Time Elapsed (s):111 of 180
23:34:7:Time Elapsed (s):112 of 180
23:34:8:Time Elapsed (s):113 of 180
23:34:9:Time Elapsed (s):114 of 180
23:34:10:Time Elapsed (s):115 of 180
23:34:11:Time Elapsed (s):116 of 180
23:34:12:Time Elapsed (s):117 of 180
23:34:13:Time Elapsed (s):118 of 180
23:34:14:Time Elapsed (s):119 of 180
23:34:15:Time Elapsed (s):120 of 180
23:34:16:Time Elapsed (s):121 of 180
23:34:17:Time Elapsed (s):122 of 180
23:34:18:Time Elapsed (s):123 of 180
23:34:19:Time Elapsed (s):124 of 180
23:34:20:Time Elapsed (s):125 of 180
23:34:21:Time Elapsed (s):126 of 180
23:34:22:Time Elapsed (s):127 of 180
23:34:23:Time Elapsed (s):128 of 180
23:34:24:Time Elapsed (s):129 of 180
23:34:25:Time Elapsed (s):130 of 180
23:34:26:Time Elapsed (s):131 of 180
23:34:27:Time Elapsed (s):132 of 180
23:34:28:Time Elapsed (s):133 of 180
23:34:29:Time Elapsed (s):134 of 180
23:34:30:Time Elapsed (s):135 of 180
23:34:31:Time Elapsed (s):136 of 180
23:34:32:Time Elapsed (s):137 of 180
23:34:33:Time Elapsed (s):138 of 180
23:34:34:Time Elapsed (s):139 of 180
23:34:35:Time Elapsed (s):140 of 180
23:34:36:Time Elapsed (s):141 of 180
23:34:37:Time Elapsed (s):142 of 180
23:34:38:Time Elapsed (s):143 of 180
23:34:39:Time Elapsed (s):144 of 180
23:34:40:Time Elapsed (s):145 of 180
23:34:41:Time Elapsed (s):146 of 180
23:34:42:Time Elapsed (s):147 of 180
23:34:43:Time Elapsed (s):148 of 180
23:34:44:Time Elapsed (s):149 of 180
23:34:45:Time Elapsed (s):150 of 180
23:34:46:Time Elapsed (s):151 of 180
23:34:47:Time Elapsed (s):152 of 180
23:34:48:Time Elapsed (s):153 of 180
23:34:49:Time Elapsed (s):154 of 180
23:34:50:Time Elapsed (s):155 of 180
23:34:51:Time Elapsed (s):156 of 180
23:34:52:Time Elapsed (s):157 of 180
23:34:53:Time Elapsed (s):158 of 180
23:34:54:Time Elapsed (s):159 of 180
23:34:55:Time Elapsed (s):160 of 180
23:34:56:Time Elapsed (s):161 of 180
23:34:57:Time Elapsed (s):162 of 180
23:34:58:Time Elapsed (s):163 of 180
23:34:59:Time Elapsed (s):164 of 180
23:35:0:Time Elapsed (s):165 of 180
23:35:1:Time Elapsed (s):166 of 180
23:35:2:Time Elapsed (s):167 of 180
23:35:3:Time Elapsed (s):168 of 180
23:35:4:Time Elapsed (s):169 of 180
23:35:5:Time Elapsed (s):170 of 180
23:35:6:Time Elapsed (s):171 of 180
23:35:7:Time Elapsed (s):172 of 180
23:35:8:Time Elapsed (s):173 of 180
23:35:9:Time Elapsed (s):174 of 180
23:35:10:Time Elapsed (s):175 of 180
23:35:11:Time Elapsed (s):176 of 180
23:35:12:Time Elapsed (s):177 of 180
23:35:13:Time Elapsed (s):178 of 180
23:35:14:Time Elapsed (s):179 of 180
23:35:15:Time Elapsed (s):180 of 180
23:35:15:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
